District,City/Village,Ph,N,P,K,Rainfall
Nagpur,Narkhed,6.3,77,43,39,850
Thane,Palghar,6.9,80,48,42,1250
Satara,Phaltan,7.2,86,50,37,720
Ratnagiri,Dapoli,5.9,71,38,35,2600
Nashik,Trimbak,6.2,77,42,37,620
Kolhapur,Radhanagari,6.5,82,47,40,2250
Pune,Baramati,6.7,85,50,42,570
Sangli,Atpadi,6.9,87,52,44,520
Thane,Kalyan,7.2,90,55,46,1150
Raigad,Pen,6.8,86,53,41,3100
Nagpur,Katol,6.1,75,40,36,820
Amravati,Morshi,5.8,70,37,34,920
Buldana,Chikhli,6.6,83,48,39,720
Jalgaon,Chalisgaon,6.4,80,45,38,600
Satara,Phaltan,6.7,84,50,41,720
Ahmednagar,Rahuri,6,72,39,35,660
Nashik,Sinnar,6.3,78,43,37,620
Kolhapur,Karvir,6.8,86,51,42,2250
Pune,Bhor,7,89,54,45,820
Sangli,Tasgaon,7.1,90,55,46,520
Thane,Bhiwandi,6.5,82,47,39,1120
Raigad,Mangaon,6.9,88,52,42,3100
Nagpur,Kalmeshwar,6.6,84,49,40,820
Amravati,Murtizapur,6.1,76,41,36,920
Buldana,Sangrampur,7.3,92,57,48,720
Jalgaon,Pachora,6.4,79,46,38,600
Satara,Wai,6.8,85,50,41,720
Ahmednagar,Shrirampur,6.2,77,44,37,660
Nashik,Igatpuri,6.6,83,48,40,2600
Kolhapur,Hatkanangle,7.1,89,54,45,2250
Pune,Velhe,7.3,92,57,48,1220
Sangli,Jat,6.9,87,53,43,520
Thane,Jawhar,6.4,80,47,39,1520
Raigad,Poladpur,6.7,84,49,40,3600
Nagpur,Ramtek,6.5,81,46,39,920
Ahmednagar,Parner,6.8,85,50,41,660
Amravati,Daryapur,6.2,77,44,37,920
Aurangabad,Gangapur,6.5,82,47,40,600
Beed,Ambajogai,6.9,87,52,44,760
Bhandara,Tumsar,7.2,90,55,46,1220
Chandrapur,Ballarpur,6.8,86,53,41,1300
Dhule,Shirpur,6.1,75,40,36,520
Gadchiroli,Dharmapuri,5.8,70,37,34,1450
Gondia,Amgaon,6.6,83,48,39,1220
Hingoli,Sengaon,6.4,80,45,38,820
Jalna,Badnapur,6.7,84,50,41,660
Kolhapur,Kagal,6.9,87,52,44,2250
Latur,Udgir,7.2,90,55,46,760
Mumbai,Goregaon,6.8,86,53,41,2050
Nanded,Mukhed,6.1,75,40,36,870
Nandurbar,Taloda,5.8,70,37,34,720
Osmanabad,Paranda,6.6,83,48,39,760
Palghar,Jawhar,6.4,80,45,38,1520
Parbhani,Selu,6.7,84,50,41,720
Pune,Junnar,6.9,87,52,44,720
Raigad,Mahad,7.2,90,55,46,3600
Ratnagiri,Rajapur,6.8,86,53,41,3100
Nagpur,Kamptee,6.2,78,42,38,850
Thane,Ulhasnagar,6.6,81,46,40,1280
Satara,Karad,7.1,87,51,42,700
Ratnagiri,Mahad,6,72,39,36,2550
Nashik,Igatpuri,6.3,77,43,37,620
Kolhapur,Kagal,6.4,80,45,38,2280
Pune,Khed,6.8,86,51,43,570
Sangli,Miraj,7,89,54,45,530
Thane,Mira-Bhayandar,7.3,92,57,48,1130
Raigad,Murud,6.7,84,50,41,3070
Nagpur,Saoner,6,74,41,37,820
Amravati,Chandur,5.7,69,36,33,920
Buldana,Deulgaon Raja,6.5,83,48,39,740
Jalgaon,Chalisgaon,6.3,80,45,38,600
Satara,Phaltan,6.6,84,50,41,720
Ahmednagar,Rahuri,6,72,39,35,660
Nashik,Devlali,6.4,79,45,38,620
Kolhapur,Gadhinglaj,6.9,88,53,44,2300
Pune,Indapur,7.1,90,55,46,850
Sangli,Islampur,7.2,91,56,47,510
Thane,Vasai-Virar,6.6,82,47,39,1150
Raigad,Panvel,7,88,53,43,3050
Nagpur,Umrer,6.5,82,48,39,820
Amravati,Dhamangaon,6,75,42,36,920
Buldana,Mehkar,7.5,94,58,49,720
Jalgaon,Parola,6.2,79,46,38,600
Satara,Rahimatpur,6.5,82,48,39,740
Ahmednagar,Karjat,6.1,73,40,36,660
Nashik,Ozar,6.5,82,48,40,2550
Kolhapur,Lanja,7,89,54,45,2300
Pune,Khadakwasla,7.4,93,57,48,1250
Sangli,Tasgaon,7.1,90,55,46,510
Thane,Virar,6.7,84,50,41,1550
Raigad,Alibag,7,88,53,43,3650
Nagpur,Wadi,6.3,80,46,39,920
Amravati,Badnera,6.3,78,45,38,920
Buldana,Shegaon,7.7,96,60,51,740
Jalgaon,Jamner,6.6,83,49,40,620
Satara,Koregaon,6.9,87,53,44,760
Ahmednagar,Shrirampur,6.3,79,45,39,660
Nashik,Yeola,6.8,86,52,43,2600
Kolhapur,Shahuwadi,7.3,92,57,48,2300
Pune,Purandar,7.6,95,59,50,1280
Sangli,Kavathe Mahankal,7.4,93,58,49,530
Thane,Wada,6.9,87,53,44,1750
Raigad,Karjat,7.2,90,55,46,3350
Nagpur,Mouda,6.6,83,49,40,920
Amravati,Badnera,6.4,80,46,39,920
Buldana,Shegaon,7.8,98,61,52,740
Jalgaon,Raver,6.7,84,50,41,620
Satara,Patan,7,89,54,45,760
Ahmednagar,Shrirampur,6.4,80,46,39,660
Nashik,Trimbak,6.9,87,53,44,2600
Kolhapur,Shahuwadi,7.3,92,57,48,2300
Pune,Maval,7.7,96,60,51,1300
Sangli,Miraj,7.5,94,59,50,530
Thane,Jawhar,7,89,55,46,1950
Raigad,Mangaon,7.3,92,57,48,3500
Akola,Karla,6.5,83,48,39,760
Akola,Barshitakli,7.1,89,54,45,850
Akola,Wadegaon,6.6,84,49,40,920
Akola,Murtijapur,6.3,81,47,39,660
Akola,Murtajapur,6.8,86,52,43,760
Amravati,Anjangaon,6.5,83,48,39,720
Amravati,Chandur Bazar,6.3,80,46,38,920
Amravati,Daryapur Road,7,88,53,43,850
Amravati,Nandgaon Khandeshwar,7.3,92,57,48,820
Amravati,Varud,7.2,90,55,46,820
Aurangabad,Kannad,6.7,84,50,41,520
Aurangabad,Paithan,7,88,53,43,720
Aurangabad,Vaijapur,6.8,86,52,43,920
Bhandara,Tumsar,7.2,90,55,46,1220
Bhandara,Pauni,6.9,87,53,44,820
Bhandara,Sakoli,6.6,83,49,40,720
Bhandara,Tiroda,7.1,89,54,45,920
Buldhana,Malkapur,6.8,86,52,43,920
Buldhana,Mehkar,7.5,94,58,49,920
Buldhana,Deulgaon Raja,6.5,83,48,39,920
Buldhana,Shegaon,7.7,96,60,51,920
Chandrapur,Ballarpur,6.8,86,53,41,1300
Chandrapur,Brahmapuri,6.9,87,54,42,720
Chandrapur,Chandrapur,6.5,83,51,40,920
Chandrapur,Chimur,6.6,84,52,41,920
Dhule,Dondaicha-Warwade,6.4,80,45,38,920
Dhule,Shirpur-Warwade,6.2,78,44,37,920
Dhule,Talode,6.6,83,49,40,920
Gadchiroli,Armori,6.7,84,50,41,920
Gadchiroli,Aundh,6.5,82,48,40,920
Gadchiroli,Korpana,6.9,87,53,42,920
Gondia,Goregaon,6.8,86,52,41,1220
Gondia,Gondiya,6.6,83,49,40,1220
Gondia,Tirora,7.1,89,54,45,1220
Hingoli,Basmat,6.9,87,53,44,720
Hingoli,Hingoli,6.7,84,50,41,820
Hingoli,Kalamnuri,6.8,85,51,42,920
Jalgaon,Amalner,7.2,90,55,46,920
Jalgaon,Bhusawal,7.3,92,57,48,920
Jalgaon,Bodwad,7.5,94,58,49,920
Jalgaon,Chalisgaon,6.3,80,45,38,920
Jalna,Badnapur,6.7,84,50,41,920
Jalna,Jafferabad,6.6,83,49,40,920
Jalna,Kannad,6.8,85,51,42,920
Kolhapur,Hatkanangle,7.1,89,54,45,920
Kolhapur,Kagal,6.9,87,52,43,920
Kolhapur,Karvir,6.8,86,51,42,920
Kolhapur,Panhala,7.3,92,57,48,920
Latur,Ausa,6.9,87,53,43,720
Latur,Latur,7.2,90,55,46,820
Latur,Nilanga,6.6,84,50,41,920
Latur,Udgir,7.2,90,55,46,760
Mumbai,Goregaon,6.8,86,53,41,2050
Mumbai,Kurla,6.5,83,49,40,2050
Mumbai,Powai,6.7,84,50,41,2050
Mumbai,Wadala,7,89,54,45,2050
Nanded,Bhokar,7.1,89,54,45,920
Nanded,Dharmabad,7,88,53,43,920
Nanded,Hadgaon,7.2,90,55,46,920
Nanded,Kinwat,6.8,86,52,43,920
Nandurbar,Shahade,7,88,53,43,720
Nandurbar,Taloda,5.8,70,37,34,720
Nandurbar,Talode,6.6,83,48,39,720
Nandurbar,Navapur,6.9,87,53,44,720
Nashik,Devlali,6.4,79,45,38,620
Nashik,Igatpuri,6.3,77,43,37,620
Nashik,Nashik,6.8,86,52,43,620
Nashik,Niphad,6.5,82,47,39,620
Osmanabad,Umarga,7,88,53,43,620
Osmanabad,Washi,6.5,82,48,40,620
Osmanabad,Tuljapur,6.9,87,52,43,620
Osmanabad,Paranda,6.6,83,48,39,760
Palghar,Boisar,6.9,87,52,43,760
Palghar,Jawhar,6.4,80,45,38,760
Palghar,Palghar,6.7,84,50,41,760
Palghar,Vada,6.6,83,49,40,760
Parbhani,Gangakhed,6.9,87,53,44,760
Parbhani,Jintur,7.1,89,54,45,760
Parbhani,Manwath,6.8,86,52,43,760
Parbhani,Parbhani,7,88,53,43,760
Pune,Indapur,7.1,89,54,45,760
Pune,Khadakwasla,7.4,93,57,48,760
Pune,Koregaon,7,88,53,43,760
Pune,Maval,7.7,96,60,51,760
Raigad,Alibag,7,88,53,43,760
Raigad,Karjat,7.2,90,55,46,760
Raigad,Khalapur,7.5,94,58,49,760
Raigad,Mahad,7.2,90,55,46,760
Ratnagiri,Chiplun,6.9,87,53,44,760
Ratnagiri,Guhagar,7,88,53,43,760
Ratnagiri,Lanja,7.2,90,55,46,760
Ratnagiri,Rajapur,6.8,86,53,41,760
Sangli,Ashta,6.8,86,52,43,760
Sangli,Miraj,7,89,54,45,760
Sangli,Tasgaon,7.1,90,55,46,760
Sangli,Vita,7.4,93,58,49,760
Satara,Karad,7.1,89,54,45,760
Satara,Mahabaleshwar,7.3,92,57,48,760
Satara,Phaltan,6.6,83,49,40,760
Satara,Wai,6.8,85,50,41,760
Solapur,Akkalkot,6.8,86,52,43,760
Solapur,Mangalvedhe,7,88,53,43,760
Solapur,Mohol,7.2,90,55,46,760
Solapur,Pandharpur,7.5,94,58,49,760
Sindhudurg,Devgad,6.9,87,53,44,760
Sindhudurg,Kankavli,7.1,89,54,45,760
Sindhudurg,Kudal,7.3,92,57,48,760
Sindhudurg,Malwan,7,88,53,43,760
Thane,Dahanu,7,88,53,43,760
Thane,Kalyan,7.2,90,55,46,760
Thane,Thane,6.8,85,51,42,760
Thane,Ulhasnagar,6.6,83,49,40,760
Wardha,Arvi,6.7,84,50,41,760
Wardha,Hinganghat,6.8,86,52,43,760
Wardha,Pulgaon,7,88,53,43,760
Wardha,Deoli,7.2,90,55,46,760
Wardha,Sindi,6.9,87,53,44,760
Washim,Karanja,7.1,89,54,45,760
Washim,Mangrulpir,7.3,92,57,48,760
Washim,Risod,7,88,53,43,760
Washim,Washim,6.8,85,51,42,760
Yavatmal,Arni,6.6,83,49,40,760
Yavatmal,Babulgaon,6.9,87,52,43,760
Yavatmal,Digras,7,88,53,43,760
Yavatmal,Ghatanji,7.2,90,55,46,760
Yavatmal,Ner,7.5,94,58,49,760